"Grade","Model","term","coefficient_estimate","standard_error","t_statistic","p_value","conf_lower","conf_upper"
"Grade 4","Model 1 (OLS)","(Intercept)",254.095501577592,12.8257220511848,19.8113993554164,1.39180926085149e-48,228.800560587802,279.390442567381
"Grade 4","Model 1 (OLS)","post2020",-3.75352215578667,1.27997756927851,-2.93249057317656,0.00376501672796506,-6.27789910345048,-1.22914520812286
"Grade 4","Model 1 (OLS)","child_poverty_rate",-110.228386869465,19.7269464975783,-5.58770648478194,7.66857473226291e-08,-149.133950671145,-71.322823067785
"Grade 4","Model 1 (OLS)","median_income",-0.000243204732589372,7.3417691710307e-05,-3.31261753024072,0.00110155624516651,-0.000387999401615217,-9.84100635635266e-05
"Grade 4","Model 1 (OLS)","internet_rate",-12.1066223883884,14.9121915069589,-0.811860710261048,0.417861488604054,-41.5165068917035,17.3032621149267
"Grade 4","Model 1 (OLS)","unemployment_rate",33.5207538512701,43.393393290664,0.772485194387462,0.440762372309693,-52.0598721948622,119.101379897402
"Grade 4","Model 1 (OLS)","bach_or_higher_rate",24.2458630862226,8.95160480045365,2.70854931899963,0.00735885334845861,6.59147183341384,41.9002543390313
"Grade 4","Model 1 (OLS)","pct_black",12.0122282515478,4.96851165429504,2.41767134452907,0.0165400725048001,2.21330943817268,21.811147064923
"Grade 4","Model 1 (OLS)","pct_hispanic",1.7393682607298,3.98145674932003,0.43686730014758,0.662690960322027,-6.11287687022924,9.59161339168885
"Grade 8","Model 1 (OLS)","(Intercept)",299.320521057546,11.5440190255622,25.9286233325458,4.15157351250411e-65,276.553359967412,322.087682147679
"Grade 8","Model 1 (OLS)","post2020",-3.51782987148194,1.15206655446576,-3.05349535393225,0.00257777319345346,-5.78994019753019,-1.24571954543368
"Grade 8","Model 1 (OLS)","child_poverty_rate",-125.020797812425,17.7555887127038,-7.0412082547832,3.17849390361252e-11,-160.038441804276,-90.0031538205747
"Grade 8","Model 1 (OLS)","median_income",-0.000265741288919,6.60808979435474e-05,-4.02145396308055,8.26416184881983e-05,-0.00039606630355472,-0.000135416274283279
"Grade 8","Model 1 (OLS)","internet_rate",-15.4101323531131,13.4219829325912,-1.14812635588251,0.252322926509171,-41.8810214688254,11.0607567625991
"Grade 8","Model 1 (OLS)","unemployment_rate",135.113161433461,39.056994665252,3.45938448647888,0.000664899386491174,58.0847983242814,212.141524542641
"Grade 8","Model 1 (OLS)","bach_or_higher_rate",28.2214145924418,8.0570509569249,3.50269779145258,0.000571043779300206,12.3312660539182,44.1115631309654
"Grade 8","Model 1 (OLS)","pct_black",-1.13504001205318,4.47199719727368,-0.253810537436194,0.799909347161018,-9.95473100177746,7.68465097767108
"Grade 8","Model 1 (OLS)","pct_hispanic",-1.85663655335551,3.58358089160039,-0.518095338019943,0.604979079869928,-8.92418930581798,5.21091619910695
