"grade","importance_rank","feature","gain","cover","frequency"
"4",1,"child_poverty_rate",0.214571213129498,0.106980932370737,0.109238031018206
"4",2,"bach_or_higher_rate",0.139230167337823,0.118750098734617,0.113845808046752
"4",3,"pct_black",0.133839585675995,0.0871487022321922,0.101033940211283
"4",4,"pct_hispanic",0.13343113009838,0.102287483610054,0.105978871656552
"4",5,"median_income",0.077115080101907,0.11053695834189,0.115981119352664
"4",6,"gini_coefficient",0.0534012780489071,0.114557431952102,0.119802202742189
"4",7,"stateALASKA",0.0486268307494251,0.00269979937125796,0.0016857720836143
"4",8,"year_scaled",0.0474039549610058,0.0338304292191277,0.0475387727579231
"4",9,"unemployment_rate",0.0353688457653356,0.149117707461178,0.146886940885592
"4",10,"stateKENTUCKY",0.0218404506006993,0.00221639468570797,0.0016857720836143
"4",11,"stateMASSACHUSETTS",0.0204658032735325,0.00411525884267231,0.00213531130591144
"4",12,"stateFLORIDA",0.0189477394503795,0.00328430830476612,0.00191054169476287
"4",13,"internet_rate",0.00847905713538948,0.0375523293470877,0.0402337603955945
"4",14,"no_computer_rate",0.00709825982582641,0.0360231275967204,0.0413576084513374
"4",15,"stateHAWAII",0.00603489714971563,0.00212160945324718,0.00134861766689144
"8",1,"child_poverty_rate",0.282484689273647,0.0752886034980399,0.0970368694865415
"8",2,"pct_black",0.168129128568367,0.0873305006965223,0.108289979642615
"8",3,"bach_or_higher_rate",0.127136866233988,0.0983903971134582,0.0964148382718842
"8",4,"year_scaled",0.0804627979971095,0.0329420720892179,0.041845736258765
"8",5,"pct_hispanic",0.0698840156056808,0.0838045322939741,0.102691698710699
"8",6,"median_income",0.0643798315243915,0.175753364647747,0.14583804569102
"8",7,"gini_coefficient",0.057133137412631,0.129332430913655,0.128534268265098
"8",8,"unemployment_rate",0.0331696835029566,0.109624846421609,0.13577244967202
"8",9,"stateDISTRICT OF COLUMBIA",0.0264291038242712,0.00224216004135214,0.00130061072155621
"8",10,"internet_rate",0.0185356520239714,0.0486056602434956,0.0464261479303325
"8",11,"no_computer_rate",0.013554155041971,0.051767882943705,0.0462565030536078
"8",12,"stateALASKA",0.0134643753611541,0.0353509019879885,0.0115358516172812
"8",13,"stateHAWAII",0.0106945744939831,0.00421517078592721,0.00226193168966297
"8",14,"stateKENTUCKY",0.00758041557191242,0.00303609415946026,0.00226193168966297
"8",15,"stateMASSACHUSETTS",0.00379766187640344,0.00242572211404948,0.00101786926034834
